Energy Consumption (kWh),Raw Materials Used (tons),CO2 Emissions (tons),CH4 Emissions (tons),N2O Emissions (tons),Particulate Matter (kg),Flow Rate (m³/s),Temperature (°C),Pressure (Pa),Gas Sensor Readings (ppm),Emission Factor,Carbon Intensity (kg CO2/ton of steel),CO2 Capture (tons),Carbon Credits (tons)
142613,511,1688.48592,36,2,15,6,1524,90988,1991.58379,2.104513739,2494,145,1262.788736
57637,606,2106.511963,37,3,30,13,1564,90656,2351.900682,2.234116306,1857,76,1602.209571
140491,602,1940.768806,59,1,38,7,1407,94993,2263.098485,2.498849444,2272,98,1495.615045
136416,696,1805.27385,43,4,10,8,1564,86660,1544.098928,2.169772503,1374,64,1352.21908
96158,432,1265.674045,27,4,29,8,1519,92852,1379.231967,2.306502834,2100,82,915.5392363
103798,614,2105.623646,56,4,22,5,1515,98712,2340.080596,1.997646814,2004,145,1603.498917
102135,411,1091.71195,75,3,39,9,1573,91093,1120.433472,1.990499363,1688,95,784.3695602
66155,401,1275.163308,60,4,17,9,1430,103002,1488.899893,2.234118833,2229,147,957.1306464
118596,548,1854.662024,49,1,33,6,1538,101977,2307.391522,2.290550358,1753,120,1429.729619
96465,541,1428.821782,39,1,37,5,1563,87070,1079.144689,2.324621093,1727,62,1087.057426
98081,689,1252.814551,71,1,22,9,1595,85647,1224.623208,2.414911265,1927,102,943.2516409
106986,606,1097.542832,42,2,15,9,1544,86329,1236.874812,2.538063358,1272,88,809.034266
105956,591,1022.8049,56,1,38,11,1415,102807,1138.205663,1.992115048,1266,99,748.2439199
90278,651,1596.672781,78,1,28,14,1429,99936,1571.00365,2.295571113,1792,119,1200.338225
118486,603,1483.550743,29,4,21,14,1438,92025,1737.353035,2.154501794,1226,109,1108.840595
103692,445,1216.960358,52,3,24,6,1443,86234,1323.47191,1.871382462,1775,58,918.5682861
97155,660,1627.392115,43,4,17,12,1596,102840,1666.741241,2.162846649,1633,53,1214.913692
139338,465,1602.441164,55,2,32,9,1515,90479,1420.473407,2.432553256,1255,143,1190.952932
56063,549,1143.359281,75,2,20,9,1436,87830,1067.522339,1.863297122,1466,141,824.6874248
129741,469,1523.139995,35,2,18,13,1553,94264,1895.589698,2.284974501,1968,70,1166.511996
94690,401,681.9650029,69,1,28,6,1548,92754,820.4453215,2.128057138,2402,61,459.5720024
76507,428,1157.241532,47,1,20,14,1491,91879,1270.447135,2.323252609,1748,126,859.7932259
57661,655,1831.806035,31,1,15,6,1418,92173,2160.529803,2.457095763,1300,99,1383.444828
86189,460,1400.451716,39,3,24,9,1499,102462,1145.554918,2.233316578,1844,62,1061.361373
63057,499,1250.516169,66,4,26,5,1538,98138,1105.191371,2.04316344,2427,101,914.4129348
135776,543,1028.687748,37,1,21,9,1546,99287,1226.790406,1.872120536,1667,140,740.9501982
149786,591,1322.655178,56,2,33,9,1468,89618,1303.3855,2.030960665,1222,141,981.1241424
85313,669,1367.652109,77,3,11,12,1529,90495,1429.840141,2.091721955,1896,131,1022.121687
86988,698,1632.0713,45,3,30,10,1424,98385,1945.156037,2.313019215,1526,129,1214.65704
62491,603,1543.641779,65,2,31,10,1514,89914,1469.553934,2.110681545,1776,70,1139.913423
110159,644,1771.090535,75,1,13,9,1489,101471,1754.982603,2.122161549,2120,104,1319.872428
83410,430,1371.804873,78,3,34,9,1429,102472,1105.795694,2.032393173,1858,59,998.4438981
128868,451,1497.32931,26,2,12,12,1416,98584,1865.232966,2.090306373,1736,127,1102.863448
112029,642,1556.95437,62,1,11,5,1484,102037,1925.465947,2.012822118,1579,141,1186.563496
135838,662,1110.400983,66,3,28,13,1545,104493,997.4385451,2.387303154,2049,78,831.3207864
84354,573,1772.936707,40,3,14,10,1510,102781,2085.396112,2.586369233,1325,60,1353.349366
134329,499,1224.70341,62,4,26,13,1491,87427,1369.872071,2.387717021,1641,79,887.7627278
56504,460,1192.730873,51,4,25,6,1475,87084,981.9679781,1.858903146,2028,89,873.1846986
143961,587,1579.96232,26,3,25,7,1439,93930,1203.846635,2.306166858,1243,140,1165.969856
79811,406,1151.30862,72,3,35,5,1533,87999,871.5833079,2.362315241,1860,98,827.0468961
99206,588,1928.758611,42,3,21,9,1487,87466,1509.949924,2.422595695,1398,52,1469.006889
145282,482,1640.868932,39,4,13,6,1570,102264,1745.385587,2.410149047,1852,50,1226.695146
67225,682,2305.390951,39,1,26,5,1597,95547,2296.365516,2.206710682,1507,81,1780.312761
146509,523,1631.19898,51,4,34,13,1544,98812,2036.35256,2.009938091,2312,88,1239.959184
142732,556,1822.837386,45,2,39,13,1569,91595,1628.283792,1.896473044,2397,134,1367.269909
69290,486,777.2644354,55,3,28,10,1546,90036,864.9786322,1.806698078,1673,51,555.8115483
125660,547,1749.429257,78,2,11,12,1510,93631,1650.675619,1.801213858,1435,123,1323.543406
52272,469,771.2847922,43,2,14,13,1454,103430,616.3800143,2.548965414,1424,80,521.0278337
56141,475,1421.384212,20,2,10,9,1491,87194,1689.418578,2.286363221,1559,67,1062.10737
114980,513,943.2670758,77,4,35,6,1556,100965,896.1046487,2.259356916,1623,56,697.6136606
107167,402,892.5287984,72,4,23,8,1512,91513,1078.585392,2.101325986,2214,54,624.0230387
74678,633,1182.676538,47,1,32,7,1581,85893,1441.048431,2.438821158,2277,78,856.1412302
124697,566,1350.998573,45,2,18,14,1598,92400,1567.255996,1.976143804,1866,117,1020.798858
51071,498,1157.100454,53,2,26,11,1407,102043,883.8388747,2.390464625,1534,95,849.6803632
67120,523,834.7737348,45,4,21,14,1407,85123,1029.287016,2.090237533,2098,105,609.8189878
141477,444,1403.482175,55,2,33,14,1468,101631,1139.742888,2.366206313,1804,52,1062.78574
74133,686,2200.943872,24,4,33,14,1442,86405,2675.587698,2.365116325,1294,62,1704.755098
53630,505,1552.882316,75,3,32,12,1497,92103,1635.607295,2.052244578,1514,116,1165.305853
115763,693,2214.282752,21,3,35,9,1449,102513,2078.613706,2.547405511,1687,121,1692.426202
129544,533,1599.937052,51,2,29,6,1403,96121,1776.981834,2.206129555,2087,99,1194.949641
104863,407,1373.612339,53,1,39,13,1507,87527,1378.324497,2.00618833,2241,53,1040.889871
105308,427,1132.738982,69,4,21,5,1435,101337,1299.523938,2.33903458,1863,91,822.1911853
69954,670,1785.741012,49,3,24,9,1532,101852,1798.039675,2.400691628,2028,148,1366.59281
130211,622,2002.727926,43,3,25,7,1418,91509,1871.458254,2.560547453,1836,125,1505.182341
112787,407,894.924255,47,2,39,12,1569,91901,832.6562569,1.858619059,2085,73,662.939404
51619,533,852.8877896,65,4,32,12,1509,96018,790.6734046,2.231954036,2152,68,623.3102317
128421,428,1283.876218,22,2,27,5,1542,90021,1266.478399,2.192300104,1886,149,952.1009748
117740,514,1032.717676,72,4,31,8,1585,103302,831.4018462,2.048197631,1420,148,774.1741411
127230,433,1060.188213,69,1,23,14,1413,93530,1145.907717,2.41425037,2079,131,749.1505706
90342,406,804.2371466,73,4,21,12,1447,88697,740.4504909,1.955413427,1236,89,551.3897173
59373,439,1384.685768,29,3,20,13,1471,99429,1427.29437,2.062205908,2366,83,1041.748614
61448,461,1575.046114,25,2,24,13,1503,88833,1595.929384,2.412921592,2171,138,1162.036891
99949,485,780.8724105,53,4,30,6,1474,89450,920.3081368,2.181815937,2223,56,548.6979284
81210,612,1203.646877,50,3,30,13,1507,95244,1421.32104,1.908876186,1404,124,891.9175015
75410,515,967.7489875,71,2,36,12,1509,101629,1204.45151,2.515411069,1470,87,681.19919
115047,464,1320.73286,62,2,17,13,1481,100097,1150.078443,2.384646235,1381,68,971.5862879
79028,696,1640.720332,69,1,26,13,1462,92036,1258.807824,2.250193696,1830,148,1255.576266
118300,569,1372.725773,65,3,17,7,1454,93635,1321.183816,2.287460462,1773,94,1016.180618
93369,515,934.2914569,77,4,13,9,1431,93478,1119.578315,2.300789079,1480,69,672.4331655
114735,515,1199.676681,71,3,38,7,1563,96800,1259.811404,2.199435342,2235,140,879.7413446
61467,620,1306.003068,32,2,19,10,1508,101229,1223.414496,2.395792834,2488,144,984.8024544
58199,449,1222.349441,78,1,15,14,1484,91839,1388.664337,2.372259796,1836,138,899.8795531
77095,478,924.6797467,58,4,15,9,1511,94040,1022.855426,1.80223208,2057,51,661.7437973
147999,419,1143.711904,72,1,26,6,1505,85334,1265.840072,1.888440654,1492,142,827.9695231
89007,436,983.3938073,77,1,17,7,1456,102270,990.564313,1.820248863,1336,86,700.7150458
97711,658,1442.723644,39,3,22,11,1443,102258,1464.71135,1.935124172,1396,80,1090.178915
63617,492,1038.667728,51,2,24,14,1561,87566,1067.658411,1.857825212,1654,91,766.9341824
78304,586,1668.732855,29,2,13,14,1578,96878,1712.641766,1.95503437,2318,55,1278.986284
118865,600,1574.902087,45,4,38,9,1596,86330,1343.640184,2.230809539,2459,134,1161.921669
146729,687,2200.765616,38,1,37,7,1491,95392,1921.032633,2.335757436,1812,146,1682.612493
105221,447,886.4994988,48,1,34,8,1537,86773,830.6610876,2.534867057,1206,58,627.199599
127099,652,1030.315932,32,1,24,10,1511,88753,1213.43817,2.391436107,1588,123,729.2527452
121120,445,829.5008988,73,3,32,12,1539,89506,813.9032176,1.825198004,2348,135,598.6007191
124341,630,1377.629019,53,2,23,11,1568,86444,1671.283822,2.174967615,2432,144,1019.103215
140800,494,918.4991304,39,1,20,7,1530,99646,1053.235887,2.34050922,1876,102,664.7993043
124625,617,1028.552176,63,1,39,6,1464,91630,1214.464737,2.052103089,2186,60,766.8417408
63639,439,1049.507179,59,2,29,7,1500,85567,857.5250997,2.095116857,1712,132,746.6057436
74685,602,1718.028131,37,4,37,9,1439,89764,1416.330833,2.442241486,1917,125,1296.422505
115416,515,1546.61789,76,3,26,11,1592,90807,1342.948645,1.837627931,1700,65,1179.294312
110356,490,1125.752778,53,3,34,12,1501,85045,1217.288313,2.231733035,1643,62,802.6022226
61110,457,1122.432759,67,3,19,10,1598,96044,1109.12464,2.443594301,1675,87,841.9462075
149464,409,1231.474864,27,2,15,6,1429,104190,1028.166608,2.437931035,2008,62,922.1798909
102762,655,1444.547258,35,3,15,6,1599,94730,1622.069527,1.89646078,2103,64,1076.637806
71128,648,1989.05701,59,1,10,14,1594,104167,2006.43691,2.475891952,2204,67,1518.245608
64684,405,1391.074613,42,3,14,9,1504,102144,1551.741385,1.861820433,1240,65,1029.859691
101155,587,1914.184252,51,2,13,9,1442,98526,2306.087087,2.539251853,1578,90,1474.347401
74419,634,1526.158887,32,3,20,5,1580,91220,1842.644463,1.973039251,1292,99,1170.92711
51527,582,1547.559528,45,4,26,5,1490,91128,1393.668366,1.892189849,2327,118,1155.047622
65220,686,2011.937002,57,4,16,13,1429,102896,1668.433849,1.859163685,1564,140,1540.549602
73702,522,1147.669662,20,2,29,11,1440,90350,1109.696924,2.074725952,2464,115,838.1357295
77757,557,1725.851243,21,2,12,12,1443,99385,1366.771298,2.078858769,2483,90,1316.680995
96664,412,978.0196041,58,4,11,9,1436,85660,755.0162481,2.220919712,2393,76,718.4156833
128621,453,1446.738452,32,3,17,7,1516,91250,1792.591945,2.386357341,1457,108,1074.390761
65205,676,1358.400226,46,1,14,7,1533,102081,1678.863365,2.207801268,2473,114,1032.720181
110207,442,673.0582018,23,2,35,7,1482,92966,623.1780196,2.583157744,2189,63,467.4465614
70994,666,1841.740943,60,4,34,5,1523,99833,2136.902374,1.968257723,2115,84,1412.392755
146481,508,1221.119343,70,3,14,7,1564,94222,1052.254189,1.96844556,1229,72,882.8954747
136170,565,915.1001222,39,2,19,6,1400,102208,877.2572219,2.363948527,2305,71,652.0800978
80569,505,1249.988477,22,3,21,12,1409,85978,1391.51842,2.051341809,1485,76,921.9907813
145711,450,826.7128609,42,1,26,14,1425,90461,847.605078,1.937281978,1554,99,590.3702887
56626,603,1663.97749,21,2,23,14,1544,97599,1931.144188,2.43395651,2480,74,1234.181992
53964,442,1056.420291,35,1,35,10,1463,96988,1309.98177,1.980976735,1734,147,788.1362325
97377,682,1256.414162,29,1,14,9,1554,86724,947.9755693,2.399133378,2218,103,919.1313293
68058,484,1124.756901,47,1,14,5,1467,91220,1363.498148,1.965352583,2140,98,822.8055207
141302,616,1210.697252,63,4,33,6,1417,98253,1158.302666,2.551532674,2455,140,898.5578013
85160,557,1563.049813,37,1,15,6,1482,87331,1491.109793,2.036080982,1504,148,1190.439851
66262,526,1099.490829,21,1,24,11,1509,101031,824.9806594,2.399779587,1574,134,819.5926636
144501,590,1854.980473,33,3,36,11,1577,99817,2165.086901,2.473151503,1452,52,1411.984378
60884,665,1016.337063,63,4,14,10,1489,88829,1147.94707,1.898110049,2015,74,722.0696506
54433,459,1058.837702,39,4,38,12,1592,91751,1267.434233,1.854425409,2267,117,785.070162
133747,682,1864.697741,75,4,17,8,1419,87115,1554.562045,2.278680623,2413,106,1399.758193
126227,461,712.3448383,75,4,10,13,1520,87125,610.8758006,2.29607562,1951,64,493.8758706
81063,525,1014.133998,75,1,30,12,1461,88217,914.5108394,2.298203962,2092,116,739.3071981
83484,571,1230.413594,59,3,12,7,1474,93266,1248.997065,2.164937552,1752,60,902.330875
136780,462,713.1843684,42,1,30,7,1586,93705,657.9540649,2.547766693,1866,141,495.5474947
140196,659,1709.038349,73,1,28,13,1424,92836,1537.900825,2.35368128,1679,52,1275.230679
86536,415,1146.120763,79,4,24,13,1523,98398,964.285248,1.859373338,1809,67,831.8966104
80084,578,1130.015723,26,4,13,9,1482,98888,937.4616075,2.428006197,1256,102,822.0125785
74802,500,1293.482727,64,2,36,14,1495,98353,1275.981738,2.020393708,2393,58,947.7861819
107012,575,2011.495923,66,3,34,5,1464,89229,1957.084984,2.378426618,1979,128,1544.196738
70614,592,1938.112437,33,4,11,7,1592,99928,2214.420683,1.847367749,2049,121,1491.489949
120569,672,1086.840158,56,4,39,9,1466,104474,1262.814601,2.413353628,1771,89,777.4721261
119922,660,1158.804853,27,1,35,8,1457,99187,1275.041078,2.234213087,1775,105,830.0438824
127686,574,1428.575013,69,1,37,8,1439,95931,1665.149252,2.376601213,1971,63,1052.86001
58157,633,1259.924611,24,1,26,5,1574,96068,1013.516069,2.195403483,2140,110,914.9396891
98742,699,1161.694994,42,4,21,10,1499,103415,1137.159809,2.440891308,2284,62,863.3559949
145944,615,1235.602026,60,3,29,14,1570,96383,1103.672558,2.557621326,1443,96,896.4816209
57675,646,1048.042102,29,4,17,8,1535,101257,917.9786956,2.393988966,1614,123,766.4336818
76228,420,1075.126451,68,4,38,5,1502,88406,1189.46348,2.395333638,2400,143,810.1011611
68251,642,1592.481133,46,3,14,14,1461,97357,1856.218847,1.973357972,1870,54,1195.984906
73349,687,1039.192135,76,4,34,10,1561,93625,839.0111518,2.083574216,1753,135,757.353708
99178,679,1673.757265,54,4,19,9,1407,100762,1359.174094,1.900033672,2143,148,1284.005812
131362,643,1632.969419,20,3,28,9,1424,86629,1746.790192,2.225943336,2243,54,1247.375536
124660,562,1523.811005,26,4,38,6,1553,96925,1252.800436,2.157246328,2335,61,1130.048804
56588,545,1874.9087,66,2,18,5,1581,100746,2126.507113,2.035760612,1923,84,1436.92696
146479,466,1614.869342,70,2,25,11,1568,88707,1880.269186,1.855352111,1807,134,1219.895474
143570,502,1282.037028,27,1,10,9,1479,93258,1296.68046,2.545114746,2239,75,957.6296223
137687,524,1671.755659,30,4,24,7,1471,93859,2013.130293,2.284329401,1706,50,1257.404527
113196,516,861.8910746,53,3,11,10,1462,97160,655.1884271,2.059996071,2280,59,601.5128597
82400,650,1665.501009,71,3,34,7,1599,101533,1437.669205,2.078177448,2498,87,1244.400807
63536,625,1786.125074,47,2,23,10,1474,102516,2029.87692,2.116330792,1934,73,1341.900059
52700,587,1543.491634,53,1,34,10,1406,98740,1896.411411,2.449304702,2236,144,1166.793307
141610,586,1149.405006,62,4,35,13,1497,89710,1414.101212,1.968350848,1562,96,827.5240044
124345,475,772.025087,39,3,30,12,1484,98929,579.1724651,2.485175245,2462,136,567.6200696
65115,672,1527.683518,47,3,25,5,1468,99130,1628.40636,2.049110419,1746,134,1135.146815
102929,548,1531.816178,68,4,19,11,1449,85539,1169.793635,2.496848247,2392,51,1163.452942
95513,594,2069.155132,61,1,21,13,1570,86821,2276.407725,2.516709542,1531,144,1556.324105
134607,683,1347.604695,56,2,22,6,1521,100847,1528.211858,2.357331904,2213,51,995.0837557
88100,443,1477.66186,22,4,29,13,1416,100367,1741.914233,2.515783809,2424,79,1116.129488
138726,569,931.1814727,28,4,18,10,1548,93666,944.8900555,2.397682587,2215,74,663.9451781
71440,493,1657.455424,71,4,37,7,1405,103685,1947.603282,1.915631821,2036,132,1227.964339
141616,623,1971.628993,41,2,35,12,1508,103924,2389.459976,2.564933247,2382,111,1494.303194
82947,677,1043.860008,44,3,11,11,1598,95904,1061.20315,1.952085371,1297,50,753.0880061
123532,437,916.114017,21,4,28,12,1474,87618,927.1601627,2.195702917,1210,141,639.8912136
130398,669,1071.680003,42,4,24,12,1481,92372,1074.818408,2.106776492,1413,112,780.3440021
109413,634,2213.301445,70,4,39,11,1437,104233,2218.432236,2.078516606,1239,133,1677.641156
73104,510,1201.400885,36,4,24,5,1462,96430,1366.313682,2.426894443,1638,108,883.1207077
132841,567,1601.404771,76,1,33,14,1527,100686,1254.96481,2.032766761,1630,103,1195.123817
85860,453,891.6766608,44,1,10,14,1539,100219,870.4951528,2.230141913,2187,118,640.3413286
112184,526,1771.290523,31,1,27,14,1549,92893,1792.534167,2.069292607,1644,104,1320.032418
121063,674,1380.586671,46,3,30,12,1402,100141,1183.477372,2.514780719,1233,143,1039.469337
63727,441,891.0092836,39,4,16,9,1546,90598,909.3979519,1.924094674,1261,136,650.8074269
145503,440,936.8480844,28,4,19,6,1570,104872,916.0781033,1.940394157,2302,91,674.4784675
139385,449,1088.81527,42,4,38,6,1486,95995,1218.156979,1.888979813,2177,140,815.0522159
52719,558,857.6825225,55,4,18,6,1594,97565,794.7690864,2.406238923,2396,102,593.146018
62924,581,1566.187175,47,2,39,13,1520,104866,1918.401647,1.929194036,1806,114,1189.94974
59215,580,906.7323247,69,2,28,9,1532,98502,867.620584,2.226483908,1506,58,644.3858597
140124,565,1456.798811,67,2,20,7,1428,95906,1552.140777,2.413424493,1552,120,1075.439049
140826,631,1524.350747,48,4,13,10,1497,98332,1312.221793,1.892418399,2281,100,1159.480597
110494,605,1200.98194,72,2,35,13,1507,101942,1314.268778,2.544378051,1322,139,879.7855523
98009,449,969.6316794,75,2,10,13,1532,90769,976.3478384,2.027225928,1202,65,715.7053435
135545,545,1586.669194,61,3,21,13,1572,87331,1461.509828,2.433844448,2246,102,1200.335355
81912,697,1058.878943,77,3,10,14,1581,98031,978.3567582,2.434848169,2489,119,764.1031542
51144,544,1160.512086,73,2,26,8,1551,91824,1088.24374,2.078675131,2014,111,832.4096689
87302,415,1187.146721,51,2,29,9,1502,103108,1150.020723,2.240464356,2271,86,850.7173768
130171,484,873.4011017,31,3,18,5,1548,102970,763.1991812,2.30466983,1452,110,627.7208814
149024,615,1611.774355,49,2,17,14,1431,89836,1432.384711,2.132442282,2311,106,1217.419484
103720,451,828.8775015,79,4,13,10,1532,95097,1018.840817,2.086305728,1509,94,585.1020012
116542,435,787.1428329,30,2,17,6,1589,100801,708.9251244,2.48170534,1731,125,568.7142663
127026,506,1540.547457,56,4,32,11,1545,87792,1638.301424,1.961543905,1396,137,1144.437965
77044,618,1256.425337,39,2,31,8,1434,85416,1159.266196,2.435947537,2135,66,925.1402693
122635,697,1569.322152,30,1,19,8,1501,96805,1813.225845,1.962980307,2474,51,1177.457721
139036,653,1932.903594,67,2,37,13,1479,98453,2122.276058,2.360095006,1662,144,1466.322875
50537,467,868.1713069,66,1,27,5,1498,102187,793.6072341,2.030105791,1222,86,633.5370455
126552,586,1502.195789,57,2,24,10,1487,104334,1664.901542,2.541902259,1899,103,1117.756631
85453,523,1744.539368,64,2,28,6,1532,97403,1968.489703,2.284303712,2390,91,1304.631495
51980,429,1118.683411,35,4,29,10,1408,96370,916.364828,2.226813787,2391,78,804.9467288
121442,584,933.0518554,78,3,32,11,1531,86569,969.5091677,2.036156066,2436,114,670.4414843
83307,688,1843.42345,54,3,33,7,1432,96441,2127.088808,2.206931718,2012,127,1410.73876
138966,452,759.4986732,69,4,39,8,1490,93489,588.743968,1.852693318,1236,89,528.5989385
94844,576,1189.007471,20,3,20,6,1549,88232,1193.684088,1.914677593,1605,60,895.2059765
78629,532,1702.054312,44,1,33,11,1586,93973,1991.263028,2.036027636,2275,107,1276.64345
77775,476,724.5378099,68,1,13,13,1410,88032,888.5596606,2.55940755,2237,145,484.6302479
90029,459,759.1982174,46,2,18,9,1468,89507,818.4100333,2.174300404,1729,69,534.3585739
145934,490,1091.096846,71,1,17,9,1537,101361,997.1563998,2.120336179,2337,115,805.8774769
111860,697,2438.657857,51,3,25,13,1530,93614,2566.497173,2.418045684,2401,80,1877.926285
114783,679,1414.851184,25,1,36,12,1542,94309,1080.495915,2.354951945,1982,54,1050.880948
91988,598,1085.100444,60,2,22,5,1522,89638,1061.153198,2.331162656,2004,145,807.0803552
105452,517,1343.602485,55,1,14,6,1509,92629,1496.321309,2.28455642,1585,99,997.8819883
50051,582,1477.412845,58,3,22,11,1564,96077,1134.806056,1.903972376,1318,58,1121.930276
74818,454,1089.254586,42,4,28,7,1567,87265,1145.47835,2.112460934,1231,90,819.403669
51686,670,2273.516028,48,2,11,10,1416,88648,2373.916826,2.520940767,1947,59,1732.812822
69205,404,832.3606917,49,4,21,5,1547,85420,703.208435,2.567735927,1952,102,613.8885534
138483,500,1043.324229,41,1,18,12,1531,92473,1079.435105,2.146143333,1445,149,756.6593834
58096,685,1219.652051,76,2,10,6,1561,100609,1164.432459,1.800844074,1516,98,894.7216406
124152,452,1308.348368,30,2,32,5,1494,91572,1294.498859,2.199459594,1972,75,959.6786946
93087,617,1322.069927,45,1,36,6,1561,85314,1206.657516,1.981741382,2052,116,977.6559419
58545,685,2127.254201,42,2,38,12,1466,91233,2457.345158,1.950455584,2015,85,1651.803361
58484,639,2200.406567,22,1,23,14,1427,103870,2052.597208,2.027033876,1495,72,1674.325254
116252,613,973.0581067,67,4,16,9,1504,101211,1114.54564,1.898102421,1267,143,708.4464853
73667,503,1753.580621,25,4,26,13,1515,102984,1382.323977,1.836690844,2063,88,1307.864497
144736,621,1247.097449,26,3,39,7,1563,87617,1109.03055,2.155760591,1255,108,907.6779593
120111,588,1376.04978,63,3,32,12,1562,101483,1309.084332,2.010040905,1856,72,1009.839824
136492,498,1521.632381,58,1,23,8,1568,94003,1449.035007,2.004955326,1251,72,1148.305905
126206,496,1404.008493,73,1,26,11,1458,96724,1362.797108,1.977244484,1836,92,1063.206794
65637,472,1442.844453,70,4,11,14,1473,94613,1552.781704,2.197312999,2137,149,1095.275563
131882,655,1593.394941,41,2,18,14,1544,89043,1652.394129,2.386581047,2181,74,1222.715952
142476,630,2099.244519,67,1,24,12,1429,104836,2121.33661,2.325525416,1327,133,1582.395615
148941,569,1752.452637,69,2,33,7,1581,96454,2048.330067,2.580748837,2174,109,1338.962109
90747,556,1177.861509,61,3,25,7,1451,86013,998.9248513,2.531201781,1224,82,848.2892069
109749,621,2109.512435,52,4,18,5,1599,89389,2489.476566,2.133871195,1260,82,1593.609948
59491,498,1704.209977,59,1,37,12,1550,85245,1969.581108,2.450384018,2105,114,1283.367981
103100,619,1442.336302,22,3,34,6,1418,97259,1222.880891,1.947576991,1587,96,1069.869042
62631,643,1802.921188,49,1,13,11,1436,88520,1914.759388,1.969846622,1839,82,1344.33695
137470,658,2059.235392,67,3,24,11,1586,88239,1774.317118,2.360738747,1870,87,1589.388314
77182,593,1858.81865,43,4,30,11,1506,94831,2270.380285,1.973366876,1999,73,1432.05492
58903,549,839.0076521,22,1,19,8,1435,104860,836.0499915,2.160953012,1863,122,593.2061217
142722,554,1527.947105,21,1,16,11,1467,95840,1301.598848,2.057636513,1514,144,1127.357684
107782,421,1451.354808,63,2,15,14,1553,88595,1550.126597,1.98611057,2426,98,1090.083847
127261,515,1010.787562,59,2,24,12,1503,99936,1115.509692,1.923559493,1399,141,710.6300498
127606,512,1582.703472,38,1,34,13,1520,92833,1665.771386,2.289479307,1904,136,1171.162777
86109,610,1566.782098,43,4,11,11,1554,95275,1364.421976,1.844951159,2097,79,1201.425678
131604,423,821.8637986,69,2,33,10,1589,102423,918.5209172,2.36204183,1835,131,606.4910389
121086,682,1092.615797,39,1,39,9,1589,91349,1327.289324,2.515782167,1315,107,797.0926373
110436,691,2086.711805,76,1,24,14,1579,98805,2558.449341,2.074777446,2189,139,1583.369444
68167,455,970.4880181,66,3,27,14,1443,95913,1057.579458,2.130574693,1608,146,722.3904145
75443,665,1497.029417,68,4,23,11,1432,94178,1751.708003,2.272466145,1764,108,1139.623534
130224,453,1119.119334,69,2,39,14,1509,95662,1386.942391,2.332991206,1369,65,814.2954674
100640,507,1274.795632,50,2,27,6,1489,102343,983.7475529,2.235848357,1443,142,953.8365053
79548,601,1149.335064,69,3,12,9,1462,87252,1136.112293,2.352279508,2284,65,859.4680508
127649,601,1707.611672,60,1,29,12,1471,89252,1529.514659,2.446847256,2282,82,1279.089338
112358,617,1780.094335,77,2,31,10,1479,85298,1757.65373,2.592035909,2136,88,1340.075468
137825,642,1145.714387,50,1,23,10,1596,101402,1384.548747,2.114191333,1274,95,820.5715096
68160,577,1480.477609,56,2,15,5,1433,94714,1838.2988,2.267744889,1569,87,1117.382087
149385,460,1250.5186,62,2,23,6,1510,100649,1503.701341,2.10094924,2436,72,915.4148803
96205,435,814.5388428,48,1,11,7,1426,102008,691.1840386,1.990343014,1325,75,583.6310742
112280,445,1463.571293,23,1,31,11,1563,103800,1685.203035,2.598063039,2375,98,1096.857034
134845,494,1218.031951,77,2,25,14,1531,102536,1411.489909,1.811106577,1315,130,879.4255607
86852,443,766.4151249,29,3,33,10,1505,86298,796.8338348,1.851759353,1799,73,524.1320999
95021,625,1355.495222,55,3,25,9,1452,101759,1501.1378,2.266435147,2059,132,1004.396178
56195,545,1337.386889,74,3,30,13,1598,86382,1608.446703,2.367876651,1761,91,997.9095109
116547,668,1015.552589,54,3,26,14,1436,102235,1266.477486,2.383069303,1963,76,749.4420708
74286,412,644.2937376,76,3,25,11,1499,90600,496.1286135,2.362650603,1774,51,439.4349901
83581,424,683.0814648,67,1,25,13,1478,94499,600.1427156,2.430880439,1392,57,462.4651719
127674,660,1700.338498,40,2,17,7,1577,96370,2069.801716,2.395724501,1554,128,1298.270799
76719,527,1144.736959,62,3,15,12,1512,99124,1046.947412,2.236781705,1257,90,830.7895671
148576,438,1439.359146,60,4,27,13,1469,93674,1156.157418,2.17609102,1692,62,1078.487317
98450,556,1455.868066,20,2,32,6,1553,100591,1319.938072,2.376217177,2427,140,1082.694453
70028,584,1763.558912,61,4,23,8,1489,90163,1779.868112,2.385863047,1319,71,1312.84713
66192,573,1646.954621,31,1,25,6,1519,94110,1553.153352,2.066039972,1407,96,1261.563696
133636,585,1486.275251,43,2,17,11,1424,103912,1700.524138,1.80236389,2026,96,1131.020201
121812,680,2032.819798,21,1,27,8,1560,103749,2145.677536,2.051446223,1971,114,1527.255838
77551,473,1224.791595,66,4,23,10,1594,95382,1184.927419,2.227790566,1880,118,909.8332759
122364,694,1576.013352,75,2,26,12,1564,93095,1967.858515,2.220888178,2336,78,1179.810681
114311,415,984.218011,39,2,31,10,1565,101086,1174.141991,2.103893301,1771,128,736.3744088
111444,587,1864.900573,35,1,38,8,1426,98523,2202.686816,2.545865909,1731,79,1398.920458
83124,571,1499.758403,53,2,31,10,1412,90918,1550.19023,2.18108373,2441,95,1125.806723
63654,585,1318.936493,32,4,17,5,1550,99138,1503.538371,1.911239675,1334,55,1005.149195
